"sand","silt","clay","depth"
"1",77.5,19.5,3,10.4
"2",71.9,24.9,3.2,11.7
"3",50.7,36.1,13.2,12.8
"4",52.2,40.9,6.6,13
"5",70,26.5,3.5,15.7
"6",66.5,32.2,1.3,16.3
"7",43.1,55.3,1.6,18
"8",53.4,36.8,9.8,18.7
"9",15.5,54.4,30.1,20.7
"10",31.7,41.5,26.8,22.1
"11",65.7,27.8,6.5,22.4
"12",70.4,29,0.6,24.4
"13",17.4,53.6,29,25.8
"14",10.6,69.8,19.6,32.5
"15",38.2,43.1,18.7,33.6
"16",10.8,52.7,36.5,36.8
"17",18.4,50.7,30.9,37.8
"18",4.6,47.4,48,36.9
"19",15.6,50.4,34,42.2
"20",31.9,45.1,23,47
"21",9.5,53.5,37,47.1
"22",17.1,48,34.9,48.4
"23",10.5,55.4,34.1,49.4
"24",4.8,54.7,41,49.5
"25",2.6,45.2,52.2,59.2
"26",11.4,52.7,35.9,60.1
"27",6.7,46.9,46.4,61.7
"28",6.9,49.7,43.4,62.4
"29",4,44.9,51.1,69.3
"30",7.4,51.6,40.9,73.6
"31",4.8,49.5,45.7,74.4
"32",4.5,48.5,47,78.5
"33",6.6,52.1,41.3,82.9
"34",6.7,47.3,45.9,87.7
"35",7.4,45.6,46.9,88.1
"36",6,48.9,45.1,90.4
"37",6.3,53.8,39.9,90.6
"38",2.5,48,49.5,97.7
"39",2,47.8,50.2,103.7
