"dfs","alt","slo","flo","pH","har","pho","nit","amm","oxy","bdo"
"1",3,934,6.176,84,79,45,1,20,0,122,27
"2",22,932,3.434,100,80,40,2,20,10,103,19
"3",102,914,3.638,180,83,52,5,22,5,105,35
"4",185,854,3.497,253,80,72,10,21,0,110,13
"5",215,849,3.178,264,81,84,38,52,20,80,62
"6",324,846,3.497,286,79,60,20,15,0,102,53
"7",268,841,4.205,400,81,88,7,15,0,111,22
"8",491,792,3.258,130,81,94,20,41,12,70,81
"9",705,752,2.565,480,80,90,30,82,12,72,52
"10",990,617,4.605,1000,77,82,6,75,1,100,43
"11",1234,483,3.738,1990,81,96,30,160,0,115,27
"12",1324,477,2.833,2000,79,86,4,50,0,122,30
"13",1436,450,3.091,2110,81,98,6,52,0,124,24
"14",1522,434,2.565,2120,83,98,27,123,0,123,38
"15",1645,415,1.792,2300,86,86,40,100,0,117,21
"16",1859,375,3.045,1610,80,88,20,200,5,103,27
"17",1985,348,1.792,2430,80,92,20,250,20,102,46
"18",2110,332,2.197,2500,80,90,50,220,20,103,28
"19",2246,310,1.792,2590,81,84,60,220,15,106,33
"20",2477,286,2.197,2680,80,86,30,300,30,103,28
"21",2812,262,2.398,2720,79,85,20,220,10,90,41
"22",2940,254,2.708,2790,81,88,20,162,7,91,48
"23",3043,246,2.565,2880,81,97,260,350,115,63,164
"24",3147,241,1.386,2976,80,99,140,250,60,52,123
"25",3278,231,1.792,3870,79,100,422,620,180,41,167
"26",3579,214,1.792,3910,79,94,143,300,30,62,89
"27",3732,206,2.565,3960,81,90,58,300,26,72,63
"28",3947,195,1.386,4320,83,100,74,400,30,81,45
"29",4220,183,1.946,6770,78,110,45,162,10,90,42
"30",4530,172,1.099,6900,82,109,65,160,10,82,44
