id,horizon,top,bottom,hue,value,chroma,pH.CaCl2,C.CNS.pc
1,Ap1,0,23,10YR,2,3,4.78,2.71
1,Ap2,23,34,10YR,2,2,4.74,2.2
1,Bfcj,34,46,7.5YR,4,5,4.79,2.4
1,BC,46,83,2.5Y,4,5,4.93,0.22
1,C,83,100,2.5Y,5,4,4.82,0.18
2,Ap,0,29,10YR,2,2,4.6,4.22
2,Bf,29,45,10YR,4,6,4.81,1.03
2,BC,45,78,2.5Y,4,5,4.81,0.33
2,C,78,100,2.5Y,4,4,4.65,0.88
3,Ap,0,25,10YR,2,3,5.37,2.53
3,Bfj,25,33,10YR,4,5,5.29,0.54
3,BC,33,66,2.5Y,4,5,5.16,0.16
3,C,66,100,2.5Y,4,3,5.1,0.3
4,Ap,0,26,10YR,2,2,5.43,2.83
4,Bf,26,41,10YR,4,6,5.63,0.98
4,BC,41,65,2.5Y,5,4,5.77,0.34
4,C,65,100,2.5Y,4,3,5.44,0.13
5,Ap,0,33,10YR,3,2,4.92,2.65
5,Bfcj,33,47,7.5YR,4,6,4.19,1.05
5,BC,47,66,2.5Y,5,5,4.93,0.24
5,Cgj,66,100,2.5Y,5,3,4.96,0.1
6,Ap,0,22,10YR,3,3,5.06,2.32
6,Bfj,22,32,10YR,4,5,4.67,1.71
6,BC,32,54,2.5Y,4,4,4.77,0.67
6,C,54,75,5Y,5,3,4.91,0.24
6,Cg,75,100,5Y,4,2,4.76,0.33
7,Ap,0,27,10YR,3,3,5.97,3.25
7,Bf,27,36,10YR,4,6,6.37,1.34
7,BC,36,72,2.5Y,4,5,6.01,0.62
7,Cg,72,100,5Y,4,2,5.38,0.43
8,Ap,0,24,10YR,3,3,5.32,2.17
8,Bfj,24,32,2.5Y,4,6,5.7,0.47
8,BC,32,45,5Y,5,2,5.33,0.25
8,Cgj,45,100,2.5Y,5,2,5.24,0.1
9,Ap,0,28,10YR,3,2,5,3.44
9,Bg1,28,42,5Y,4,2,5.81,0.4
9,Bg2,42,57,5Y,4,1,5.71,0.23
9,IICgj,57,66,5Y,5,2,5.49,0.23
9,IIICg,66,100,2.5Y,4,2,5.52,0.12
10,Ap1,0,18,10YR,3,2,4.51,1.26
10,Ap2,18,36,10YR,3,2,4.92,1.31
10,Bg,36,48,2.5Y,4,3,4.96,0.12
10,Cg1,48,70,2.5Y,5,2,5.11,0.12
10,Cg2,70,100,2.5Y,4,2,5.44,0.13
